instance,N,tmax,outcome,outcome_reported,n_points,n_extend_points,t_max_reached,F_min,nsamp_extend
instance_89_d_6,14,1.147712021000015,crossed,not_extended,8,0,2.0,0.008743965382745956,
instance_94_d_13,14,9.539893868171212,crossed,wall_cap,14,6,9.653618000000003,0.09678693489586285,8
instance_97_d_5,14,0.575412306142052,crossed,not_extended,8,0,2.0,0.003385531992535107,
instance_97_d_7,14,1.1912493075192225,crossed,not_extended,8,0,2.0,0.018712924425199163,
instance_100_d_14,15,10.95526472425595,crossed,wall_cap,15,7,12.549703400000006,0.06310889561348196,8
instance_101_d_14,15,,wall_cap,wall_cap,16,8,16.31461442000001,0.1921725783297068,8
instance_101_d_5,15,0.7977460058978907,crossed,not_extended,8,0,2.0,0.002161450416315347,
instance_105_d_9,15,1.1763375563501173,crossed,not_extended,8,0,2.0,0.015339795907857478,
instance_106_d_7,15,5.434579685078377,crossed,wall_cap,12,4,5.712200000000002,0.0866795878635343,8
instance_107_d_14,15,2.4670799668002235,crossed,crossed,9,1,2.6,0.06689304111512293,8
instance_109_d_6,15,1.6578881188757817,crossed,not_extended,8,0,2.0,0.06755033880617703,
instance_111_d_5,15,2.1149714526451655,crossed,crossed,9,1,2.6,0.038987218387833235,8
instance_111_d_7,15,2.5597537606723737,crossed,crossed,9,1,2.6,0.0927172648194004,8
instance_111_d_8,15,1.914246029630016,crossed,not_extended,8,0,2.0,0.08625633785850369,
instance_112_d_10,15,0.9372459682643162,crossed,not_extended,8,0,2.0,0.004630565250408836,
instance_112_d_15,15,11.441651493202263,crossed,wall_cap,15,7,12.549703400000006,0.08193461787947892,8
instance_112_d_7,15,0.7994116796778159,crossed,not_extended,8,0,2.0,0.010774142969603417,
instance_113_d_5,15,0.4811946709525259,crossed,not_extended,8,0,2.0,0.000957707068300806,
instance_113_d_6,15,1.1159068731464374,crossed,not_extended,8,0,2.0,0.000684581672976492,
instance_113_d_7,15,2.870773881570866,crossed,in_progress,10,2,3.3800000000000003,0.07457228278437915,
instance_113_d_8,15,3.04022135330252,crossed,crossed,10,2,3.3800000000000003,0.06369764046965287,8
instance_114_d_7,15,1.8963623873497235,crossed,not_extended,8,0,2.0,0.08254736570925161,
instance_118_d_6,15,1.793647913863681,crossed,not_extended,8,0,2.0,0.0730431962881994,
instance_119_d_6,15,0.658304588045207,crossed,not_extended,8,0,2.0,-0.0004704200749984011,
